"","Date","NVDA.Open","NVDA.High","NVDA.Low","NVDA.Close","NVDA.Volume","NVDA.Adjusted","LogReturn","AReturn","Close_lead","Direction","MeanSentiment","Sentiment","TweetVolume","Positive","Negative","Neutral","NegPosRatio","PosRatio","NegRatio","LaggedSentiment","Volatility","LaggedAReturn","LaggedVolatility","LaggedNVDA_Volume","LaggedTVolume"
"2",2022-11-22,15.3280000686646,16.0580005645752,15.1219997406006,16.0380001068115,472866000,16.0207710266113,0.0459975649592338,0.0470718612911656,16.5189990997314,"Up",1.0327380952381,1388,1344,626,162,556,0.258785942492013,0.46577380952381,0.120535714285714,1.14196567862715,0.0470718612911656,0.0112233493618026,0.0112233493618026,404739000,641
"3",2022-11-23,16.0979995727539,16.5270004272461,16.0480003356934,16.5189990997314,427241000,16.5012531280518,0.0295502660292881,0.0299912077389024,16.2700004577637,"Down",1.21546481320591,1399,1151,553,99,499,0.179023508137432,0.480451781059948,0.0860121633362294,1.0327380952381,0.0299912077389024,0.0470718612911656,0.0470718612911656,472866000,1344
"9",2022-11-29,15.8269996643066,15.9320001602173,15.5200004577637,15.6389999389648,298384000,15.6221981048584,-0.0119495305896506,-0.0118784184829281,16.9230003356934,"Up",1.12168344007319,1226,1093,555,171,367,0.308108108108108,0.507776761207685,0.156450137236962,1.25733207190161,0.0118784184829281,-0.0272280750456674,0.0272280750456674,303741000,1057
"10",2022-11-30,15.6969995498657,16.9300003051758,15.5970001220703,16.9230003356934,565298000,16.9091472625732,0.0789058727111391,0.0821024619054704,17.1350002288818,"Up",0.938758389261745,1119,1192,551,204,437,0.370235934664247,0.462248322147651,0.171140939597315,1.12168344007319,0.0821024619054704,-0.0118784184829281,0.0118784184829281,298384000,1093
"11",2022-12-01,16.9990005493164,17.2649993896484,16.6350002288818,17.1350002288818,470977000,17.1209716796875,0.0124495054216701,0.0125273231095631,16.8759994506836,"Down",1.14190093708166,1706,1494,765,219,510,0.286274509803922,0.512048192771084,0.146586345381526,0.938758389261745,0.0125273231095631,0.0821024619054704,0.0821024619054704,565298000,1192
"12",2022-12-02,16.6590003967285,16.9330005645752,16.4449996948242,16.8759994506836,371389000,16.8621826171875,-0.0152307069721975,-0.015115306375175,16.6100006103516,"Down",1.16265060240964,2316,1992,1051,300,641,0.285442435775452,0.527610441767068,0.150602409638554,1.14190093708166,0.015115306375175,0.0125273231095631,0.0125273231095631,470977000,1494
"16",2022-12-06,16.5300006866455,16.5729999542236,15.8190002441406,15.9870004653931,352694000,15.9739103317261,-0.0382290392777595,-0.037507532935925,16.1200008392334,"Up",1.05254901960784,1342,1275,623,181,471,0.290529695024077,0.488627450980392,0.141960784313725,1.01531100478469,0.037507532935925,-0.0157619607128665,0.0157619607128665,352255000,1045
"17",2022-12-07,15.7720003128052,16.1860008239746,15.6669998168945,16.1200008392334,372388000,16.1068000793457,0.00828486804663251,0.00831928254010106,17.1690006256104,"Up",0.985714285714286,1311,1330,648,236,446,0.364197530864198,0.487218045112782,0.177443609022556,1.05254901960784,0.00831928254010106,-0.037507532935925,0.037507532935925,352694000,1275
"18",2022-12-08,16.2730007171631,17.1790008544922,15.9589996337891,17.1690006256104,515456000,17.1549453735352,0.0630446793933367,0.0650744250474145,17.0009994506836,"Down",1.03299941072481,1753,1697,818,260,619,0.317848410757946,0.48202710665881,0.153211549793754,0.985714285714286,0.0650744250474145,0.00831928254010106,0.00831928254010106,372388000,1330
"19",2022-12-09,17.1599998474121,17.5830001831055,16.9750003814697,17.0009994506836,465338000,16.9870796203613,-0.00983333498868073,-0.00978514583290058,17.5349998474121,"Up",1.14920828258222,1887,1642,841,233,568,0.27705112960761,0.512180267965895,0.14190012180268,1.03299941072481,0.00978514583290058,0.0650744250474145,0.0650744250474145,515456000,1697
"23",2022-12-13,18.5310001373291,18.7900009155273,17.7110004425049,18.07200050354,656589000,18.0572052001953,0.0301649321384592,0.0306245030396839,17.673999786377,"Down",1.10457063711911,1595,1444,746,222,476,0.297587131367292,0.516620498614958,0.153739612188366,1.18078668683812,0.0306245030396839,0.0314099414141822,0.0314099414141822,457328000,1322
"24",2022-12-14,17.9869995117188,18.2520008087158,17.4200000762939,17.673999786377,496888000,17.6595268249512,-0.0222691860197372,-0.0220230581050019,16.9519996643066,"Down",1.39737654320988,1811,1296,704,164,428,0.232954545454545,0.54320987654321,0.126543209876543,1.10457063711911,0.0220230581050019,0.0306245030396839,0.0306245030396839,656589000,1444
